,feature,importance
1,int_rate,0.13286628345192658
13,grade_num,0.09887849318806047
12,loan_to_income,0.05664820624152052
4,dti,0.055000096703335444
2,installment,0.05246505726753569
9,revol_bal,0.05072481962655389
10,revol_util,0.05006885291380818
3,annual_inc,0.049722035693277246
11,total_acc,0.04108858870715148
0,loan_amnt,0.0393495796269511
7,open_acc,0.0323879002499447
18,grade_E,0.0316180277902863
6,inq_last_6mths,0.025866523750207072
19,grade_F,0.02581184798463597
17,grade_D,0.02298330522115734
71,verification_status_Verified,0.017518114922148574
20,grade_G,0.012043162937757876
66,home_ownership_MORTGAGE,0.011516560015884338
15,grade_B,0.011100066642457367
5,delinq_2yrs,0.011005979715358378
69,home_ownership_RENT,0.01009886188035274
16,grade_C,0.009999737623857393
8,pub_rec,0.009378411942068015
14,term_ 60 months,0.007093285725401285
73,purpose_debt_consolidation,0.0063172817087111055
70,verification_status_Source Verified,0.006044353502863125
48,sub_grade_F4,0.005909007358520438
56,emp_length_10+ years,0.0055103793570271875
44,sub_grade_E5,0.005446459461686246
68,home_ownership_OWN,0.004399492644902419
57,emp_length_2 years,0.004392895843098763
45,sub_grade_F1,0.004128709534657025
60,emp_length_5 years,0.0036491897194252322
38,sub_grade_D4,0.0036480226114499834
35,sub_grade_D1,0.003528798252492382
58,emp_length_3 years,0.0035033825131787705
74,purpose_home_improvement,0.0034910830321553204
72,purpose_credit_card,0.0034803615008296906
79,purpose_other,0.0033216407306423178
40,sub_grade_E1,0.003214006221404375
77,purpose_medical,0.0030451475064236693
43,sub_grade_E4,0.003018272883810566
34,sub_grade_C5,0.002805375790248199
64,emp_length_9 years,0.0027506562565515137
41,sub_grade_E2,0.0025895586228223987
65,emp_length_< 1 year,0.002585965309348209
51,sub_grade_G2,0.0024434465390829967
33,sub_grade_C4,0.0023459488182234517
81,purpose_small_business,0.002326360813753836
55,emp_length_1 year,0.0023247265321975595
61,emp_length_6 years,0.0022968155084300123
63,emp_length_8 years,0.0022904479684670116
59,emp_length_4 years,0.00217280753400507
62,emp_length_7 years,0.0021109408123797997
46,sub_grade_F2,0.002030175047433884
76,purpose_major_purchase,0.0019878835594115216
37,sub_grade_D3,0.001965503833423204
42,sub_grade_E3,0.0018284963817077598
36,sub_grade_D2,0.0017924920523207668
50,sub_grade_G1,0.0014036996957224337
29,sub_grade_B5,0.0013237992858678486
39,sub_grade_D5,0.0013205241386285626
30,sub_grade_C1,0.0012732948065608445
32,sub_grade_C3,0.0012288649137206843
49,sub_grade_F5,0.0011208722413446409
47,sub_grade_F3,0.001061854196341456
25,sub_grade_B1,0.0010447030288175169
31,sub_grade_C2,0.000951477347907641
75,purpose_house,0.0009456554078883754
78,purpose_moving,0.0009348365294480531
54,sub_grade_G5,0.0009332226214706154
23,sub_grade_A4,0.0009095188492391507
53,sub_grade_G4,0.0009071182818750932
82,purpose_vacation,0.0008395503727202394
24,sub_grade_A5,0.0007429239506994459
21,sub_grade_A2,0.0005713775321930703
52,sub_grade_G3,0.0005538813307950944
27,sub_grade_B3,0.000530125470057261
28,sub_grade_B4,0.0005145772591364381
26,sub_grade_B2,0.0004886612555608512
22,sub_grade_A3,0.00035238669413549875
80,purpose_renewable_energy,0.00011718920514538463
67,home_ownership_NONE,0.0
